Zone,Station_Name,Station_Type,Park_Type,X,Y,Parking_Cap,PNR_Walk,PNR_IVT,Runtime,Headway,Num_Veh,Vehicle_Cap,Speed,Distance,PNR_impedence,Fare_System
101,Branham_SCVTA LRT,L,P,4926264.26,3541929.04,271,188,34,3.133333333,2,120,3,0.38,1.566666667,0,99
102,Capitol_SCVTA LRT,L,P,4925289.11,3544904.62,951,172,26,2.866666667,1,240,4,0.42,1.433333334,0,99
103,Curtner_SCVTA LRT,L,P,4922928.25,3551779.01,447,138,23,2.3,1,240,2,0.52,1.15,0,99
104,Tamien_SCVTA LRT,L,P,4919738.1,3558594.7,369,154,26,2.566666667,1,240,2,0.47,1.283333334,0,99
105,San Jose Diridon_SCVTA LRT,L,P,4914630.35,3565092.69,669,187,24,3.116666667,1,240,3,0.39,1.558333334,0,99
106,Winchester_SCVTA LRT,L,P,4900725.94,3547816,54,105,20,1.75,1,240,1,0.69,0.875,0,99
107,Bascom_SCVTA LRT,L,P,4906392.23,3554905.12,112,67,20,1.116666667,1,240,1,1.07,0.558333334,0,99
108,Alum Rock_SCVTA LRT,L,P,4935978.73,3574610.26,110,110,25,1.833333333,1,240,1,0.65,0.916666667,0,99
109,Penitencia Creek_SCVTA LRT,L,P,4929939.03,3583277.93,53,101,32,1.683333333,2,120,1,0.71,0.841666667,0,99
110,Hostetter_SCVTA LRT,L,P,4925611.18,3588881.3,100,124,33,2.066666667,2,120,1,0.58,1.033333334,0,99
111,Milpitas_SCVTA LRT,L,P,4912348.36,3596152.01,275,251,37,4.183333333,2,120,3,0.29,2.091666667,0,99
112,Great Mall_SCVTA LRT,L,P,4916915.32,3596033.2,93,213,14,3.55,1,240,1,0.34,1.775,0,99
113,Alder_SCVTA LRT,L,P,4912382.6,3596149.57,275,170,20,2.833333333,1,240,2,0.42,1.416666667,0,99
114,Moffett Park_SCVTA LRT,L,P,4878044.8,3593967.84,29,57,0,0.95,1,240,1,1.26,0.475,0,99
115,Whiseman_SCVTA LRT,L,P,4870655.09,3590479.33,58,62,0,1.033333333,1,240,1,1.16,0.516666667,0,99
116,Mountain View_SCVTA LRT,L,P,4865546.99,3591926.85,337,152,19,2.533333333,1,240,2,0.47,1.266666667,0,99
