shstReferenceId,PEMSID,ft,lanes
0e02435a83959b5ec5ca49b0bc37a4af,[406609],Freeway,7
0e2e0def80947f03091c82048126008f,"[406687, 406688, 406689]",Freeway,3
0ea276a00997f1ff4522759aaa6b1e11,"[400540, 405843, 405844, 406296]",Freeway,5
0eadd5ad07880f5af5414e6c5ef07cc0,[402129],Freeway,3
0ed3487327fc62837bf87b1ec43de15d,"[403320, 404245, 404247]",Freeway,4
0f0802f52b6b8e9b759e27e49694e0c9,[408602],Freeway,4
0f168798e8ea24ca5dc330b4ac5c2f50,"[401015, 403093]",Freeway,4
0f44c10881a147093ce6bd0e97e5323e,"[402121, 402282, 413041]",Freeway,4
0f4c842efb31aef52000b7af29bdf833,[404265],Freeway,4
0f79fc9952c739cc0499cad8aece51ef,[404648],Freeway,4
0f9e6fd1655a9f0c76df2ac39be990a8,"[403327, 404255]",Freeway,4
0fa1835adfeab0e462025b4fc927b390,"[400764, 405269, 406635, 406636]",Freeway,4
0fe0ce06a72fffc3f1eb0125393c9c17,[400567],Freeway,4
0fe6341e20240d4091831de1ddd5778a,[404573],Freeway,5
1027e6c1a74f5b2e8a91e68644dff57a,[402281],Freeway,3
10477b947616a3014c124be492bf622f,[402418],Freeway,5
109008f26f2ae94e05fefd857138ddc9,"[401597, 404452]",Freeway,3
10906227c3352fdedd43262f81fddbf6,[403525],Freeway,2
1164a779f615ef5168c9f72d2d9f2f36,"[405602, 406657]",Freeway,5
11726f8ff31e34aafe5759252cd0a347,"[400956, 403025, 403026, 403027]",Freeway,4
1178f83ef0d76570da88b0a4c3de3abd,[400213],Freeway,4
11c7937c638e9e8eb7422a3691f6da4d,"[407868, 407869, 407870]",Freeway,3
11c7f7c7a85a86a11a50bc5bd40e4799,"[402151, 402152, 402155, 402156, 402157, 402540, 402541]",Freeway,5
11e6eeb964a9ade9fa88e5e04ccdf547,"[401877, 410814, 410815, 410816]",Freeway,4
11fe7b18bfbda0f3836958ee830ea948,[401703],Freeway,2
11ffee4fd9762dff5268fe7af06daf48,"[401283, 403145]",Freeway,6
1224345577927b818c8620e07e82eb6c,"[402416, 410698]",Freeway,5
1254dc0ec1c154b4881aee3f12a6114c,"[401651, 401868, 401870, 405885, 405892, 401883, 412248, 412249, 414239]",Freeway,4
1280264718ad1e346c0f7fe759fcb77f,[400608],Freeway,5
12b8a0e162fc53357072b12141cbd7ed,"[402353, 404519, 404535]",Freeway,4
1333bce9382f9a1ce75a6f714ce53acf,[401437],Freeway,4
1380c304aa105648dae50d40bab1a18f,[411793],Freeway,4
13b2c45b12cc6724660aea57bd84bbfb,"[406056, 406057]",Freeway,4
13f7086211ed6372c240ba1ad98e57d8,[400499],Freeway,4
13fbe0d75f54cb0b7047065393d66e57,"[400673, 400084]",Freeway,4
141f2a3235c7e1cf949a6280d1a49f56,"[413716, 413717, 413718]",Freeway,3
146306b33452570332a431da0ff73172,[404250],Freeway,4
148ce807862b9b8c762c092d992db15a,"[402387, 404516, 405826, 405828, 405827]",Freeway,5
149ae370c38719b121f7164002aa0dce,[401199],Freeway,5
15209a31c1af42f42989482bd9214f6c,"[400514, 400723, 413046, 413047, 413048]",Freeway,3
15315d08227487de47479a4423ecf4fe,"[400682, 403039, 403041, 403043, 403044]",Freeway,4
1578e83951e6d7859622e62619e2d0f6,[401571],Freeway,5
15b05eec80bc50021c295877c342120b,"[412392, 412393]",Freeway,2
15da3361ea4c580721a32d4827ca0216,"[405746, 405747]",Freeway,2
1600191cfe57b0c99f327423b1cdd978,"[400307, 405420, 405421]",Freeway,3
1601b9f7d896ba4cdf6940b364736b76,[401539],Freeway,7
161e14efc48f6ca2d844dc105f1ad80a,"[400521, 401537, 409044]",Freeway,3
166e2d09b352b9385543dc5965f1d044,"[406575, 406576]",Freeway,3
1686da9a34d42ffc0de5bb4a9cc1d7d1,"[400532, 400579, 404380]",Freeway,4
1716f462f7e5662391edb5e5e29828f6,"[400571, 400096]",Freeway,3
172a6270b128cc36026026204b1de248,"[401631, 401634, 407953, 407954, 407955]",Freeway,4
1735a2b0ae3af924e382fc2646a52c88,"[401011, 402972, 402973]",Freeway,4
174488c407e3d20b6394ee29cbc52621,"[410812, 410813]",Freeway,0
17872fa8f8bd87376ea0659552e36d7d,"[413091, 413092, 413093]",Freeway,4
178c573e12c30e35959d703e796ea7e9,[402733],Freeway,2
17f00c14a5c70358420ed8c6571683d1,[407168],Freeway,0
1801f0b5d6c548dfeb1908daa09bc409,"[400339, 403116, 405712]",Freeway,4
187634025e80ef0675ef14bace5fde56,"[400369, 403069, 403066]",Freeway,2
18cb795a20db9a40b8628511c392c60c,[402584],Freeway,4
1914708ef9be603328a6aa1504e8e89b,[412339],Freeway,0
193611b3ca0259cd54d21df768070361,"[400648, 400828]",Freeway,3
19ae24a325f60161a1f8d53a770a6c93,"[400265, 403072, 407477]",Freeway,2
19c329223871ef5ae5ba74c17d05af42,"[407457, 407459]",Freeway,4
1a01ce07153cbcc163fbfdad8358b893,[402827],Freeway,5
1a20055d9c41d9acabf571fcd25452db,"[400189, 402947, 402948]",Freeway,4
1a422d1cf1c1c9db860af596fa9f4e58,[402038],Freeway,2
1a484cb26025b16ac99805a4e383a3eb,[401399],Freeway,3
1a491fafe3013706604bc91e0a23b9c6,[404918],Freeway,5
1a60ce5dac146c1af99f432cc76bbf7a,"[401522, 403152]",Freeway,6
1a831a4dd1ca80391cd598f8b8f0913d,[404279],Freeway,4
1b2bf95984c74f449d9bab97e1d3f889,[403228],Freeway,4
1b8b9c7b874c548ff1137a139614b62b,[400101],Freeway,5
1ba240dea90eccceaca1bf7bce83db12,"[409940, 409941]",Freeway,3
1bb17adc45c21ad17d07cb32ff987bf2,[400252],Freeway,4
1bbc74bb9b614a0bf37b8c68dab3e579,[402087],Freeway,3
1bce7a622f2860fb955e88f576ce11ef,"[401012, 413139, 413144]",Freeway,2
1be04b92f79c191d50da317210c87f0b,[400201],Freeway,3
1bf827925ebdb9ec93723a3f22d50b6b,"[400810, 402966]",Freeway,4
1c13681feaf4c1ef1f29e87ec86dac58,"[406287, 406288]",Freeway,2
1c159b355d757576a182ae5291a4c206,"[400394, 408410]",Freeway,5
1c3a34da87d91518d2bd83fc6af19164,[403314],Freeway,4
1ce4068853386bb3cb949e1e6044844a,[401704],Freeway,2
1cf51829b90c8d90ff88da1f59841b33,"[410788, 411447]",Freeway,4
1cffe48cd2709bf4a5767763f16ffc04,"[408133, 408135]",Freeway,5
1d140df41c47950b5fa885108b91332a,[400318],Freeway,4
1d2cafdfb006265d335dc8f81c9c89ab,[402047],Freeway,2
1d2eadf95dd49c7932dbaf41a5403591,"[409938, 409939]",Freeway,3
1d52fe7886e7f11400930b131ff87b9c,[400758],Freeway,3
1d6c62f9d299b8d1df4c4d5c8f19cca1,"[402925, 402924]",Freeway,0
1de4265d54f568cad50be81b956e515b,[405389],Freeway,4
1de4f569aa6a3315045094f77f7927e0,"[400804, 401908]",Freeway,4
1e086f3bb4fb8c3bc39a55fd9635be10,[400639],Freeway,3
1e1178e625b1d47178fee604db3c6339,"[402438, 403103]",Freeway,6
1e12c4cac3fb16fe28f716c272476acc,[404264],Freeway,4
1e24aa4cd34349e485a3c1571dae9512,[406889],Freeway,2
1e4da38fa1f90e1c039849dbf8237f81,[402389],Freeway,5
1e6813c0643f0aadaeefcc6691b520cb,"[401243, 404397, 407274]",Freeway,4
1eaba0fd38dff784c7f9d7c82d6fe4e9,[400082],Freeway,4
1eb5280d00b9f7c20fb03ba826fe7606,"[400184, 403081]",Freeway,4
1f068be799c2e788a69df7c76e78d034,[401277],Freeway,5
