shstReferenceId,A_node,B_node,lanes_am,lanes_md,lanes_pm,name,min_lanes,max_lanes,osm_sfcta_names_dist
01011c99c75de1002928e036e6a7c0d8,26025,26026,1,1,1,HAIGHT,1,1,0
0102d149926f73a8d4bfb31bffa5badc,25797,25796,1,1,1,SANCHEZ,1,1,0
0104f65e195e13bb63dc9ae44f125240,22302,32992,1,1,1,BELLA VISTA,1,1,10
010966874ba8c2687992187463b6754c,20717,33240,1,1,1,RANKIN,1,1,0
010d36cd42d21a62f5bc7f1e2433c29b,52830,33719,1,1,1,20TH,1,1,0
010d9c46b18a512fff10206650e7ee40,25867,25870,1,1,1,LAGUNA,1,1,0
010e757ae6e8c092234d6decf2281ca3,26604,26606,3,3,3,PINE,3,3,100
01141501f8bd15c55fb9e41c228ed094,20467,20466,1,1,1,3RD,1,1,0
01146d82cdca910dc24c4a8484700af5,25366,25395,1,1,1,STOCKTON,1,1,0
011566e0bc936f3f6c14d819e3976cdb,24128,24083,2,2,2,SOUTH VAN NESS,2,2,0
0116629795aacc0ebd3c0a673b6dd48d,23655,23674,1,1,1,MARIPOSA,1,1,0
011a0718adafa3f4adbcf72475b5349e,24439,24440,3,3,3,LARKIN,3,3,0
011c6d7045ed27d57233c3330736ec6f,24148,24150,1,1,1,SAN CARLOS,1,1,0
01240636e3a3b77b68bbe2fa1018ae44,24526,24522,4,3,4,1ST,3,4,0
01249f185e59f1d40e4c2c3bedfa48b9,25272,25277,1,1,1,JACKSON,1,1,0
01296c2ddfb4ba0a7770d8ea0d5b91b3,52200,52228,1,1,1,LOCKWOOD,1,1,100
012abd8658151fedddef7b3c2558b126,27132,32875,1,1,1,14TH,1,1,0
012b23fdab8e0abc9433f16af05eb49d,22193,33430,2,2,2,OCEAN,2,2,0
012c1db17d42fd633fe8205ed7329b8b,22469,33436,1,1,1,SAGAMORE,1,1,6
012dab0be3bf77c84bbc13ae7c4df247,26529,26557,1,1,1,OCTAVIA,1,1,0
013493b3ec09d1830bdf6f37153a7a2b,51100,21527,1,1,1,ROME,1,1,100
014105fd97d6c8ff522d88a26697feed,27727,27725,1,1,1,34TH,1,1,0
0142f26d49263fa21e666549ce5d08da,25878,25865,2,2,2,MARKET,2,2,6
01460372330d72ea73749e778cba5e9d,25630,25631,1,1,1,22ND,1,1,0
0146aefa240d2e6bcaad9edbf054126e,20078,20084,1,1,1,ROSIE LEE,1,1,8
0147b91c707dbe4fc669ae13a578f574,23858,23863,1,1,1,15TH,1,1,0
0148d3e40939fd4fbd6e1b1c331efe00,21800,21801,1,1,1,CAYUGA,1,1,0
014f4b1f582e7acb3445e7cd0aa6dc26,26741,26752,1,1,1,CHESTNUT,1,1,0
01513aaffbb8463f2c54d3dfec1408d6,52243,52265,1,1,1,I-280 S ON-RAMP,1,1,100
01525e2ccaf25df8093fdcd10adc8e78,27287,27285,1,1,1,7TH,1,1,0
015373246b2d04c6a01a27fba0f50ab4,26591,26600,2,2,2,WEBSTER,2,2,0
01567a6f5823cfc01d3d8c000a667f81,24329,52984,2,2,2,TERRY FRANCOIS,2,2,4
0158be0f828c30d8182e358fc386b1b2,27154,27156,1,1,1,9TH,1,1,0
015f0c279a8bafddb935174b5d52a77b,33469,33468,1,1,1,JUNIPERO SERRA  BLVD N ON-RAMP from BROTHERHOOD WY,1,1,100
0161eb36f1e65b734ed1cc6a3d0da375,24615,24614,1,1,1,ANNIE,1,1,0
0164a33f66e6f84c4ec4dd2ea91562dd,24320,23574,2,2,2,TERRY FRANCOIS,2,2,4
0170a3fef17dd55958f952d3449624aa,33512,23126,2,2,2,LAKE MERCED,2,2,0
017140bcb22edffa11580adb9364ca0e,21922,21921,1,1,1,SANCHEZ,1,1,0
0171f850b589e9003bcf991479302578,20691,20749,1,1,1,PALOU,1,1,0
01738d33682c2c3a94d2be7b4e8c68d5,27394,27396,1,1,1,NORIEGA,1,1,0
01778ec86b3a0f0cb3b5eb49f7667712,21249,21225,1,1,1,EUGENIA,1,1,100
017893d0d67c51d36e64c6b979dbc8fa,21659,21641,1,1,1,VIENNA,1,1,0
017ce9e6f2631c5398941c52557daa64,20296,20289,1,1,1,TUNNEL,1,1,0
01862e618a7cd2e604d8faa631d239d6,27869,32842,1,1,1,JOHN F KENNEDY,1,1,0
018810cc01d0d9078fc3c52bed0b9ea8,20362,20372,1,1,1,VISITACION,1,1,0
018a52ce351d2d23fe1263e98534fc41,24784,24793,2,2,2,PACIFIC,2,2,0
0191ab0aefc78d15f9ae354a486d390c,50005,23884,1,1,1,KATE,1,1,100
019bdba839c48e9297390425747105a1,24118,24115,1,1,1,VALENCIA,1,1,0
01a0269aa46a0f7198437c86cb477452,28013,51560,1,1,1,POINT LOBOS,1,1,0
01aa75819f97c012b639982b7e08edbc,25724,25706,1,1,1,16TH,1,1,7
01b1253caf191a3b93101892c1025298,23882,50004,1,1,1,DECATUR,1,1,100
01b8d8e913013dbe7f986ecf3b16847a,26806,26807,1,1,1,POST,1,1,0
01bf6d57796d119887926dcad6aa3cd8,26213,26216,1,1,1,PIEDMONT,1,1,0
01c3b819a784ecaa96b9e1780ddc9bc6,20508,20513,1,1,1,THORNTON,1,1,0
01c456d29dba72c16ca1a85c4327908d,27480,27476,1,1,1,14TH,1,1,0
01ca2f81f940a3f1a9eea178a904ca2d,52747,24504,3,3,3,MAIN,3,3,0
01d1aaed87de2beaf71c07dc79937621,33719,23069,2,2,2,WINSTON,2,2,0
01d36094a5d9eabd0c4a948dabce97e4,20918,20915,1,1,1,SILLIMAN,1,1,0
01da0911d4b0f36a3cb23f8295c5b09a,26903,26907,1,1,1,WOOD,1,1,0
01de483d3960a5a1e24ccb03739b9ba2,24180,24179,1,1,1,WIESE,1,1,0
01de6bdba11c7ca1fa298b3a5315a69b,20344,20341,1,1,1,PEABODY,1,1,0
01dee059fa0cb104374ddf1054f74154,22975,22972,1,1,1,CASTENADA,1,1,0
01dfd6abbdf0b3296b0c57976022c57c,20198,20211,1,1,1,LA SALLE,1,1,0
01e19dd319c22ddf4d3915c4faef6006,27091,27040,1,1,1,8TH,1,1,0
01e1ff660f60510d8a20034e260e558b,23679,23670,1,1,1,CONNECTICUT,1,1,0
01e41a3683f675fefa1e0317aea796b2,33504,23129,1,1,1,MEADOWBROOK,1,1,100
01e4a3a56ddb1ac4f490a8b29ce9bcf5,22248,22254,1,1,1,RIDGEWOOD,1,1,0
01e51330aaf623ed79486610c21f8109,27182,27195,1,1,1,MLK,1,1,22
01e6088cc1ae553081679daf0875be8b,27864,27866,2,2,2,FULTON,2,2,0
01e62fa005ab8cf0798366e224586ce4,23565,23558,1,1,1,TENNESSEE,1,1,0
